epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4282,3.04939,2.88515,1.51697,0.19217,0.27028,0.11145,0.02417,2.88762,3.88604,1.37551,0.000657534,0.000657534,0.000657534
2,155.993,2.8173,2.09952,1.37936,0.06799,0.2502,0.03475,0.00738,3.05164,2.79277,1.43301,0.00131546,0.00131546,0.00131546
3,224.766,2.78964,2.07308,1.35696,0.16761,0.20612,0.08907,0.02125,2.96533,2.4315,1.40803,0.00196459,0.00196459,0.00196459
4,291.547,2.80486,2.13053,1.37919,0.15193,0.26981,0.09369,0.02181,2.85489,2.41031,1.33251,0.0019604,0.0019604,0.0019604
5,353.663,2.78916,2.09179,1.33684,0.22465,0.29489,0.15619,0.03617,2.78416,2.3233,1.32063,0.0019472,0.0019472,0.0019472
6,425.604,2.76248,2.04185,1.3226,0.21003,0.30855,0.14224,0.03322,2.80528,2.02076,1.3234,0.001934,0.001934,0.001934
7,497.217,2.75291,2.05102,1.32672,0.22791,0.26981,0.14401,0.03435,2.79395,2.00269,1.34876,0.0019208,0.0019208,0.0019208
8,569.379,2.7382,2.03649,1.31934,0.23845,0.34093,0.17592,0.0425,2.72255,2.01625,1.28679,0.0019076,0.0019076,0.0019076
9,643.744,2.72509,2.01204,1.31082,0.24744,0.33241,0.18146,0.04428,2.7578,1.90221,1.31227,0.0018944,0.0018944,0.0018944
10,711.583,2.72117,1.99161,1.30314,0.24964,0.3391,0.16917,0.04202,2.76836,1.9121,1.3213,0.0018812,0.0018812,0.0018812
11,786.012,2.71788,1.99799,1.31235,0.24829,0.33565,0.1854,0.04494,2.77042,2.05421,1.32671,0.001868,0.001868,0.001868
12,856.584,2.72274,1.9785,1.30771,0.20006,0.30435,0.12985,0.03054,2.85973,2.14753,1.3272,0.0018548,0.0018548,0.0018548
13,930.18,2.71251,1.98098,1.31002,0.22755,0.31206,0.16558,0.04045,2.74719,1.9352,1.30387,0.0018416,0.0018416,0.0018416
14,1003.11,2.68649,1.95655,1.29507,0.27845,0.34965,0.20328,0.04876,2.73787,1.89165,1.2906,0.0018284,0.0018284,0.0018284
15,1073.01,2.67939,1.94365,1.30377,0.32493,0.32274,0.21861,0.05136,2.75319,2.08994,1.30682,0.0018152,0.0018152,0.0018152
16,1136.08,2.69999,1.93858,1.30339,0.23666,0.31136,0.15832,0.03817,2.8351,1.8883,1.3608,0.001802,0.001802,0.001802
17,1205.17,2.71024,1.98016,1.30446,0.31243,0.32207,0.2173,0.05232,2.72603,1.90386,1.28575,0.0017888,0.0017888,0.0017888
